new_url,old_url,interest_links,web_links
kalasin2.mol.go.th,kalasin.mol.go.th,"['http://labourproduct.mol.go.th/kalasin', 'http://www.mol.go.th/', 'http://www.kalasin.go.th/th/', 'http://www.doe.go.th/kalasin/', 'http://www.sso.go.th/kalasin/', 'http://www.dsd.go.th/kalasin', 'http://smartjob.doe.go.th/', 'http://www.thai-aec.com/', 'https://docs.google.com/forms/d/e/1FAIpQLSf7KUwcXWOc3zsyDLhyvxL4rTUkSoCju8JkTTDK5SpfpxVYBQ/viewform?c=0&w=1', 'https://goo.gl/forms/Lq4UdwBjiMR640ws1', 'https://www.facebook.com/profile.php?id=100007242826983&pnref=story', 'https://twitter.com/Kalasin_MOL', 'http://www.facebook.com/profile.php?id=100007242826983&pnref=story', 'https://play.google.com/store/apps/details?id=com.pun.cool.labour&hl=th']","['/../link', '/../calendar']"
khonkaen2.mol.go.th,khonkaen.mol.go.th,"['http://labourproduct.mol.go.th/khonkaen', 'https://www.facebook.com/Labour.khonkaen', 'http://line.me/ti/p/tlwB66_QuB', 'https://twitter.com/Labour_khonkaen', 'http://www.mol.go.th/anonymouse/home', 'http://www.khonkaen.go.th', 'http://www.mol.go.th/', 'http://khonkaen.labour.go.th/', 'http://www.sso.go.th/khonkaen/', 'http://doe.go.th/khonkaen/', 'http://www.dsd.go.th/khonkaen', 'http://www.doe.go.th/lmi-ne/', 'http://nlic.mol.go.th/', 'http://www.mol.go.th/anonymouse/content/Asean2012', 'http://counterservice.mol.go.th/main.php?filename=index', 'http://www.nocht.m-society.go.th/', 'http://202.28.34.209/', 'http://lb.mol.go.th/main.php?filename=index']","['/../link', '/../calendar']"
chaiyaphum2.mol.go.th,chaiyaphum.mol.go.th,"['http://labourproduct.mol.go.th/chaiyaphum', 'http://chaiyaphum.labour.go.th/index.php', 'http://www.sso.go.th/chaiyaphum/', 'https://www.doe.go.th/prd/chaiyaphum', 'http://www.dsd.go.th/chaiyaphum', 'http://www.chaiyaphum.go.th/', 'https://www.facebook.com/chaiyaphumlabour/']","['/../link', '/../calendar']"
nakhonphanom2.mol.go.th,nakhonphanom.mol.go.th,"['http://labourproduct.mol.go.th/nakhonphanom', 'http://www.facebook.com/labournakhonphanom', 'http://nlic.mol.go.th/', 'http://www.mol.go.th/anonymouse/home', 'http://www.mol.go.th/anonymouse/content/Asean2012', 'http://www.mol.go.th/anonymouse/trafficking2014', 'http://lb.mol.go.th/main.php?filename=index', 'http://www.mol.go.th/academician/content/page/7422', 'http://www.pwdsthai.com/index.php?option=com_content&view=article&id=2647&Itemid=220&lang=th', 'http://job.doe.go.th/', 'http://www.nakhonphanom.mol.go.th/node/4295', 'http://counterservice.mol.go.th/', 'http://www.mol.go.th/anonymouse/content/departments_mol']","['/../link', '/../calendar']"
nakhonratchasima2.mol.go.th,nakhonratchasima.mol.go.th,"['http://labourproduct.mol.go.th/nakhonratchasima', 'http://www.mol.go.th/anonymouse/home', 'http://www.doe.go.th/prd/nakhonratchasima', 'http://nakhonratchasima.labour.go.th/index.php?option=com_content&view=frontpage&Itemid=1', 'http://www.sso.go.th/nakhonratchasima/', 'http://www.dsd.go.th/nakhonratchasima', 'http://www.nakhonratchasima.go.th/korat2528/index.php', 'https://www.facebook.com/nakhonratchasima.counterservice', 'http://www.oic.go.th/content/act.htm', 'https://www.facebook.com/nakhonratlabour/#', 'https://twitter.com/nakhonratmol']","['/../link', '/../calendar']"
buriram2.mol.go.th,buriram.mol.go.th,"['http://labourproduct.mol.go.th/buriram', 'http://www.mol.go.th/', 'http://counterservice.mol.go.th/main.php?filename=index', 'http://www.buriram.go.th/', 'http://www.buriram.go.th/web3/', 'http://pr.prd.go.th/buriram/main.php?filename=human', 'https://www.doe.go.th/buriram', 'http://www.dsd.go.th/buriram', 'http://buriram.labour.go.th/', 'http://www.sso.go.th/buriram/', 'https://www.nacc.go.th/we/index.php', 'http://zerocorruption.mol.go.th/sites/default/files/news/files/conflict%20of%20interest.pdf']","['/../link', '/../calendar']"
mahasarakham2.mol.go.th,mahasarakham.mol.go.th,"['https://www.facebook.com/profile.php?id=100015176596299', 'https://www.doe.go.th/prd/mahasarakham', 'http://www.dsd.go.th/mahasarakham?region_id=0', 'http://www.sso.go.th/mahasarakham/', 'http://www.mol.go.th/anonymouse/home', 'http://www.mol.go.th/anonymouse/content/Asean2012', 'http://www.mol.go.th/anonymouse/trafficking2014', 'http://lb.mol.go.th/main.php?filename=index', 'http://job.doe.go.th/', 'http://counterservice.mol.go.th/main.php?filename=index', 'http://pr.prd.go.th/mahasarakham/main.php?filename=index', 'http://www.mahasarakham.go.th/petition/web/', 'http://labourproduct.mol.go.th/mahasarakham']","['/../link', '/../calendar']"
yasothon2.mol.go.th,yasothon.mol.go.th,"['http://labourproduct.mol.go.th/yasothon', 'https://www.facebook.com/yasothonmol/', 'https://twitter.com/yasothonmol', 'http://www.yasothon.go.th/web/yaso_web.htm', 'http://www.oic.go.th/ginfo/', 'https://www.ega.or.th/th/index.php', 'http://lb.mol.go.th/main.php?filename=index', 'http://stat.dopa.go.th/stat/statnew/upstat_age.php', 'http://job.doe.go.th/', 'https://www.facebook.com/counterservice.mol?fref=ts', 'http://www.yasothon.go.th/web/damrongtham.html', 'http://analytic.nlic.mol.go.th/analytics/saw.dll?Dashboard&PortalPath=/shared/ADMIN/_portal/%E0%B9%81%E0%B8%A3%E0%B8%87%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%88%E0%B8%B1%E0%B8%87%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%94&Page=page%201&PageIdentifier=sjmrnmqfjpjbr09%u200B&Action=Navigate&P0=1&P1=cany&P2=%22%E0%B8%A1%E0%B8%B4%E0%B8%95%E0%B8%B4%E0%B8%9E%E0%B8%B7%E0%B9%89%E0%B8%99%E0%B8%97%E0%B8%B5%E0%B9%88%22.%22%E0%B8%88%E0%B8%B1%E0%B8%87%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%94%22&P3=%22%E0%B8%A2%E0%B9%82%E0%B8%AA%E0%B8%98%E0%B8%A3%22&NQUser=Public&NQPassword=P@ssw0rd', 'https://www.info.go.th/', 'https://www.info.go.th/']","['/../link', '/../calendar']"
roiet2.mol.go.th,roiet.mol.go.th,"['http://labourproduct.mol.go.th/roiet', 'http://www.mol.go.th/anonymouse/home', 'http://nlic.mol.go.th/', 'http://www.roiet.go.th/2013/', 'http://lb.mol.go.th/main.php?filename=index', 'http://www.mol.go.th/academician/content/page/7422', 'http://job.doe.go.th/']","['/../link', '/../calendar']"
loei2.mol.go.th,loei.mol.go.th,"['http://labourproduct.mol.go.th/loei', 'http://www.mol.go.th/anonymouse/home', 'http://www.doe.go.th/loei/', 'http://www.dsd.go.th/loei', 'http://loei.labour.go.th/', 'http://www.sso.go.th/loei/', 'http://www.loei.go.th/']","['/../link', '/../calendar']"
sisaket2.mol.go.th,sisaket.mol.go.th,"['http://labourproduct.mol.go.th/sisaket', 'http://www.doe.go.th/sisaket/', 'http://www.dsd.go.th/sisaket/', 'http://sisaket.labour.go.th/', 'http://www.sso.go.th/wprp/sisaket/', 'http://www.sisaket.go.th/', 'http://www.mol.go.th/anonymouse/home', 'http://www.doe.go.th/', 'http://www.dsd.go.th/', 'http://www.labour.go.th/th/', 'http://www.sso.go.th/wpr/home.jsp', 'http://www.thaigov.go.th/index.php/th/program1', 'http://www.sisaket.go.th/logo.slide/tour_calendar.pdf', 'http://sisaket.go.th/travel_sisaket/index.php', 'http://cdc.parliament.go.th/draftconstitution2/main.php?filename=index', 'http://www.oic.go.th/ginfo/', 'https://www.ega.or.th/th/index.php', 'http://www.ssko.moph.go.th/tobe/', 'http://sisaket.mol.go.th/node/2155', 'https://www.youtube.com/watch?v=7J-TDV-kN1U&list=PLDeKL3Pv2PfdS6LJm9-hXH1P7O_ihmtHb']","['/../link', '/../calendar']"
sakonnakhon2.mol.go.th,sakonnakhon.mol.go.th,"['http://labourproduct.mol.go.th/sakonnakhon', 'http://www.mol.go.th/anonymouse/home', 'https://www.doe.go.th/prd/sakonnakhon', 'http://www.sso.go.th/sakonnakhon/', 'http://sakonnakhon.labour.go.th/', 'http://www.dsd.go.th/sakonnakhon', 'https://www.facebook.com/profile.php?id=100005615409954']",['/../calendar']
surin2.mol.go.th,surin.mol.go.th,"['https://www.facebook.com/profile.php?id=100013779811271', 'https://www.facebook.com/surindoe/?fref=ts', 'http://www.mol.go.th/', 'http://www.surin.go.th/', 'http://counterservice.mol.go.th/main.php?filename=index', 'http://www.surin.go.th/srn_damrongdhama/rongtook_new.php', 'http://www.surin.go.th/information/', 'http://www.mol.go.th/anonymouse/content/Asean2012', 'http://labourproduct.mol.go.th/surin', 'http://www.mol.go.th/employee/rihgt_labor%20low']","['/sites/surin.mol.go.th/files/14502953_1089866477715537_2200860739227723448_n.jpg', '/../calendar']"
nongkhai2.mol.go.th,nongkhai.mol.go.th,"['http://labourproduct.mol.go.th/nongkhai', 'http://www.doe.go.th/nongkhai/', 'http://www.sso.go.th/nongkhai/', 'http://www.dsd.go.th/nongkhai', 'http://nongkhai.labour.go.th/', 'https://twitter.com/LabourMolnk', 'https://www.facebook.com/%E0%B8%AA%E0%B8%B3%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B9%81%E0%B8%A3%E0%B8%87%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%88%E0%B8%B1%E0%B8%87%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%AB%E0%B8%99%E0%B8%AD%E0%B8%87%E0%B8%84%E0%B8%B2%E0%B8%A2-232485306959615/?ref=hl', 'https://apps.go.th/Default.aspx']","['/../link', '/../calendar']"
ubonratchathani2.mol.go.th,ubonratchathani.mol.go.th,"['http://ubonratchathani.mol.go.th/sites/ubonratchathani.mol.go.th/files/teamubn_0.png', 'http://labourproduct.mol.go.th/ubonratchathani', 'http://www.ubisd.go.th/index.php?width=1366&height=768&cookie=1366', 'http://ubonratchathani.labour.go.th/2018/', 'http://www.sso.go.th/ubonratchathani/', 'http://www.doe.go.th/ubon/', 'http://ubonratchathani.mol.go.th/labour_ubn', 'http://ubonratchathani.mol.go.th/labour_ubn', 'http://www.ubonratchathani.go.th/th/', 'http://mol.go.th', 'http://www.ubonratchathani.go.th/th/index.php?name=menuview&file=readmenuview&id=71', 'http://www.ubonratchathani.go.th/th/index.php?name=menuview&file=readmenuview&id=69', 'http://www.ubonratchathani.go.th/ubondamrongdhama/', 'http://ubonratchathani.mol.go.th/help_ubmol']",[]
kamphaengphet2.mol.go.th,kamphaengphet.mol.go.th,"['http://labourproduct.mol.go.th/kamphaengphet', 'http://counterservice.mol.go.th/', 'http://lb.mol.go.th/', 'http://smartjob.doe.go.th/', 'https://www.doe.go.th/kamphaengphet', 'http://www.sso.go.th/kampaengphet/', 'http://kamphaengphet.labour.go.th/', 'http://www.dsd.go.th/kamphaengphet']","['/../link', '/../calendar']"
phetchabun2.mol.go.th,phetchabun.mol.go.th,"['http://www.mol.go.th/content/workerstation', 'http://lb.mol.go.th/main.php?filename=index', 'http://counterservice.mol.go.th/main.php?filename=index', 'http://www.labour.go.th/th%20/index.php?option=com_content&view=article&id=59:employee1&catid=45:employeecategory&Itemid=93', 'http://labourproduct.mol.go.th/phetchabun']","['/../link', '/../calendar']"
chiangmai2.mol.go.th,chiangmai.mol.go.th,"['http://www.sso.go.th/wpr/content.jsp?lang=th&cat=894&id=3729', 'http://www.doe.go.th/chiangmai', 'http://chiangmai.labour.go.th/', 'http://www.dsd.go.th/chiangmai', 'http://www.chiangmai.mol.go.th/node/898', 'http://www.chiangmai.mol.go.th/node/869', 'http://www.jobcm108.com/lib/login.php', 'http://www.chiangmai.mol.go.th/node/1026', 'http://www.chiangmai.mol.go.th/node/965', 'http://labourproduct.mol.go.th/chiangmai', 'https://line.me/R/ti/p/%40snm4279v']",['//slideful.com/v20180719_1110184118125851_pf.htm']
nakhonsawan2.mol.go.th,nakhonsawan.mol.go.th,"['http://labourproduct.mol.go.th/nakhonsawan', 'http://empui.doe.go.th/auth/index', 'http://empui.doe.go.th/auth/index', 'http://doe.go.th/elderly/', 'http://doe.go.th/elderly/', 'http://smartjob.doe.go.th/', 'http://smartjob.doe.go.th/', 'http://www.nakhonsawan.go.th/ita/', 'http://nakhonsawan.mol.go.th/node/33743']","['/../link', '/../calendar']"
nan2.mol.go.th,nan.mol.go.th,"['http://123.242.178.85/neof/', 'https://www.facebook.com/pages/สำนักงานแรงงานจังหวัดน่าน/375389779222097', 'http://www.facebook.com/pages/Ministry-of-Labour-Kingdom-of-Thailand/318275548214929', 'http://www.mol.go.th', 'http://intranet.mol.go.th/login/login.php', 'https://webmail.mol.go.th/zimbra/?zinitmode=http', 'http://lb.mol.go.th/', 'http://www.mol.go.th/anonymouse/content/Asean2012', 'http://www.nan.mol.go.th/node/24086 ', 'https://docs.google.com/spreadsheet/viewform?pli=1&rm=full&formkey=dFhyVGd0SXVYWVhZQnVGTi1yNTFvblE6MQ#gid=0', 'http://www.pwdsthai.com/index.php?option=com_content&view=article&id=2647&Itemid=220&lang=th', 'http://labourproduct.mol.go.th/nan']",['/../link']
phichit2.mol.go.th,phichit.mol.go.th,"['http://www.mol.go.th/content/workerstation', 'http://www.mol.go.th/anonymouse/news/46084', 'http://counterservice.mol.go.th/main.php?filename=index', 'http://nlic.mol.go.th/', 'https://www.ega.or.th/th/index.php', 'http://www.mol.go.th/anonymouse/laws', 'http://labourproduct.mol.go.th/phichit', 'http://www.facebook.com/profile.php?id=100010374826133', 'http://twitter.com/', 'http://counterservice.mol.go.th/main.php?filename=index\t', 'http://www.mol.go.th/content/services_Facility2559\t\t', 'http://www.mol.go.th/anonymouse/complaint\t\t', 'http://www.mol.go.th/anonymouse/link\t', 'http://phichit.mol.go.th/node/780', 'http://phichit.mol.go.th/node/706']","['/../link', '/../calendar']"
maehongson2.mol.go.th,maehongson.mol.go.th,"['http://www.mol.go.th/anonymouse/home', 'http://lb.mol.go.th/main.php?filename=index', 'http://counterservice.mol.go.th/main.php?filename=index', 'http://www.mol.go.th/content/workerstation', 'http://www.maehongson.go.th/', 'http://labourproduct.mol.go.th/maehongson', 'https://docs.google.com/forms/d/e/1FAIpQLSeuMmMwQcOUE_aODjvX4SUdoLiUuTUhXR2FiGgcW80HWfTC7Q/viewform?c=0&w=1', 'https://www.facebook.com/mol.maehongson/']","['/../link', '/../calendar']"
lampang2.mol.go.th,lampang.mol.go.th,"['http://www.mol.go.th/', 'http://lb.mol.go.th/main.php?filename=index', 'http://www.oic.go.th/INFOCENTER22/2238/', 'http://counterservice.mol.go.th/main.php?filename=index', 'http://www.mol.go.th/content/workerstation', 'http://www.labour.go.th/th%20/index.php?option=com_content&view=article&id=59:employee1&catid=45:employeecategory&Itemid=93', 'http://www.mol.go.th/anonymouse/complaint', 'https://goo.gl/forms/Jq68rykwbA5Fxs1l1', 'https://goo.gl/forms/2zub629Vn3FZBAeD2', 'http://www.lampang.go.th/', 'http://labourproduct.mol.go.th/lampang', 'http://www.doe.go.th/lampang/', 'http://www.sso.go.th/lampang/', 'https://www.facebook.com/%E0%B8%AA%E0%B8%B3%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%AA%E0%B8%A7%E0%B8%B1%E0%B8%AA%E0%B8%94%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%84%E0%B8%B8%E0%B9%89%E0%B8%A1%E0%B8%84%E0%B8%A3%E0%B8%AD%E0%B8%87%E0%B9%81%E0%B8%A3%E0%B8%87%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%88%E0%B8%B1%E0%B8%87%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%A5%E0%B8%B3%E0%B8%9B%E0%B8%B2%E0%B8%87-256949887650947/', 'http://www.dsd.go.th/lampang', 'http://www.oshthai.org/index.php%3Foption%3Dcom_content%26view%3Darticle%26id%3D71%26lang%3Dth', 'http://line.me/ti/p/~labour-lp', 'https://twitter.com/lampang_labour']","['/system/files/mots1-en_resize.png', 'www.facebook.com/LabourLP', 'mailto:lampangmol@gmail.com']"
lamphun2.mol.go.th,lamphun.mol.go.th,"['http://labourproduct.mol.go.th/lamphun', 'http://www.lamphun.mol.go.th/node/1391', 'http://lpndoe.com/', 'http://www.sso.go.th/lamphun/', 'http://lamphun.labour.go.th/', 'http://www.dsd.go.th/lamphun', 'http://www.lamphun.mol.go.th/node/1411', 'http://123.242.167.133/index.jsp', 'http://www.lamphun.go.th/officialwebsite/2013/?page_id=48', 'http://www.industry.go.th/lamphun/', 'http://www.lamphun.go.th/damrongtam/main.php', 'http://www.lamphun.go.th/officialwebsite/2013/?p=50596', 'http://www.damrongdhama.moi.go.th/', 'https://www.dopa.go.th/main/web_index', 'http://www.mol.go.th/anonymouse/content/Asean2012', 'http://www.mol.go.th', 'http://lb.mol.go.th/', 'https://www.bot.or.th/Thai/MonetaryPolicy/Northern/EconomicReport/Pages/default.aspx', 'http://www.price.moc.go.th/', 'http://datawarehouse2.dbd.go.th/bdw/home/login.html', 'http://www.mol.go.th/content/workerstation', 'https://www.facebook.com/lpndoee']",['/../calendar']
