new_url,old_url,interest_links,web_links
suphanburi2.mol.go.th,suphanburi.mol.go.th,"['http://labourproduct.mol.go.th/suphanburi', 'http://www.suphanburi.mol.go.th/node/2636', 'http://web.ocsc.go.th/forking/']",['/../link']
angthong2.mol.go.th,angthong.mol.go.th,"['http://labourproduct.mol.go.th/angthong', 'http://www.facebook.com/profile.php?id=100011431652466&fref=ts', 'https://twitter.com/labour_angthong', 'http://www.mol.go.th/anonymouse/home', 'https://www.doe.go.th/prd/', 'http://www.labour.go.th/th/', 'http://www.dsd.go.th/', 'http://www.sso.go.th/wpr/home.jsp', 'http://www.angthong.go.th/', 'http://www.thaigov.go.th/program1.html', 'http://www.cabinet.thaigov.go.th/index.php', 'http://www.otopangthong.com/web/', 'http://www.angthong.go.th/2554/index.php?option=com_content&view=article&id=1320', 'http://www.sme.go.th/th/index.php/member', 'http://www.angthong.go.th/damrongtham/']","['/../link', '/sites/angthong.mol.go.th/files/189283_0.jpg', '/sites/angthong.mol.go.th/files/khaaniym_12_prakaar_0.jpg']"
chanthaburi2.mol.go.th,chanthaburi.mol.go.th,"['http://labourproduct.mol.go.th/chanthaburi', 'https://www.facebook.com/chanthaburiofLabour', 'https://www.doe.go.th/prd/chanthaburi', 'http://www.sso.go.th/chanthaburi/', 'http://chanthaburi.labour.go.th/', 'http://www.chanthaburi.go.th/new/#&panel1-1']","['/../link', '/../calendar']"
chachoengsao2.mol.go.th,chachoengsao.mol.go.th,"['http://labourproduct.mol.go.th/chachoengsao', 'http://www.mol.go.th/', 'http://counterservice.mol.go.th/main.php?filename=index', 'https://www.facebook.com/%E0%B8%AA%E0%B8%B3%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%AA%E0%B8%A7%E0%B8%B1%E0%B8%AA%E0%B8%94%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%84%E0%B8%B8%E0%B9%89%E0%B8%A1%E0%B8%84%E0%B8%A3%E0%B8%AD%E0%B8%87%E0%B9%81%E0%B8%A3%E0%B8%87%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%88%E0%B8%B1%E0%B8%87%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%89%E0%B8%B0%E0%B9%80%E0%B8%8A%E0%B8%B4%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%A3%E0%B8%B2-1383755825199191/', 'http://doe.go.th/chachoengsao/', 'http://www.sso.go.th/wpr/content.jsp?lang=th&cat=894&id=3806', 'http://www.dsd.go.th/Chachoengsao', 'https://www.facebook.com/profile.php?id=100007646377761', 'https://twitter.com/koysupapor']","['/../link', '/../calendar']"
chonburi2.mol.go.th,chonburi.mol.go.th,"['http://youtu.be/g014BsL1IZQ', 'http://labourproduct.mol.go.th/chonburi']","['/../link', '/../calendar']"
trat2.mol.go.th,trat.mol.go.th,"['http://labourproduct.mol.go.th/trat', 'http://www.trat.go.th/', 'https://www.doe.go.th/prd/trat', 'http://trat.labour.go.th/', 'http://www.sso.go.th/trat/', 'http://www.dsd.go.th/trat', 'http://counterservice.mol.go.th/main.php?filename=index', 'https://www.facebook.com/ThailandMOL/', 'http://www.mol.go.th/anonymouse/content/Asean2012', 'http://www.xn--12clj3d7bc4c0cbcc.net/%E0%B8%95%E0%B8%A3%E0%B8%B2%E0%B8%94-4-182-page1']","['/../link', '/../calendar']"
nakhonnayok2.mol.go.th,nakhonnayok.mol.go.th,"['http://labourproduct.mol.go.th/nakhonnayok', 'http://www.mol.go.th', 'http://intranet.mol.go.th/login/login.php', 'http://www.nakhonnayok.go.th/', 'http://www.doe.go.th/nakhonnayok', 'http://www.dsd.go.th/nakhonnayok', 'http://nakhonnayok.labour.go.th/', 'http://www.sso.go.th/wprp/nakhonnayok/home.jsp', 'https://twitter.com/nakhonnayokmol1', 'https://www.facebook.com/profile.php?id=100013329949249', 'https://gmail.com']","['/../link', '/../calendar']"
prachinburi2.mol.go.th,prachinburi.mol.go.th,"['https://www.facebook.com/Prachinburi.MOL/', 'https://twitter.com/?request_context=signup', 'http://line.me/ti/p/%40nuf3591b', 'https://mail.google.com/mail/u/0/#inbox', 'http://labourproduct.mol.go.th/prachinburi', 'http://doe.go.th/prachinburi/', 'http://prachinburi.labour.go.th/index.php?option=com_content&view=frontpage', 'http://www.dsd.go.th/prachinburi', 'http://www.sso.go.th/wprp/prachinburi/home.jsp?lang=th', 'http://nlic.mol.go.th/th/index', 'http://lb.mol.go.th/main.php?filename=index', 'http://www.prachinburi.go.th/damrongtum/', 'http://www.prachinburi.go.th/', 'https://www.egov.go.th/th/e-government-service/384/', 'http://www.oic.go.th/ginfo/', 'https://www.info.go.th/Intro', 'https://www.govchannel.go.th/', 'https://www.facebook.com/%E0%B8%8A%E0%B8%A1%E0%B8%A3%E0%B8%A1-%E0%B8%9F%E0%B8%B9%E0%B8%88%E0%B8%B4%E0%B8%84%E0%B8%B9%E0%B8%A3%E0%B8%B0-%E0%B8%9B%E0%B8%A3%E0%B8%B2%E0%B8%88%E0%B8%B5%E0%B8%99%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5-To-be-Number-One-1454003174854861/']",[]
rayong2.mol.go.th,rayong.mol.go.th,"['http://labourproduct.mol.go.th/rayong', 'https://www.facebook.com/labour.rayong?fref=ts', 'http://rayong.mol.go.th/situation', 'http://rayong.mol.go.th/node/14254', 'https://docs.google.com/forms/d/e/1FAIpQLSf1cMQkwJw9WgU2Z6n_Q8E6i7yfkvsMgoo3C47LTYFUKsqWOA/viewform?c=0&w=1', 'http://rayong.mol.go.th/home?id=1', 'http://www.doe.go.th/rayong/', 'http://rayong.labour.go.th', 'http://www.sso.go.th/rayong/', 'http://www.dsd.go.th/rayong', 'http://www.sso.go.th/eirc/', 'http://www.doe.go.th/lmi-east/', 'http://www.mol.go.th/', 'http://www.doe.go.th/', 'http://www.labour.go.th/', 'http://www.dsd.go.th/', 'http://www.sso.go.th/']","['/../link', '/../calendar']"
sakaeo2.mol.go.th,sakaeo.mol.go.th,"['http://labourproduct.mol.go.th/sakaeo', 'http://www.mol.go.th/anonymouse/home', 'http://www.sso.go.th/wpr/home.jsp', 'http://www.doe.go.th/home', 'http://www.labour.go.th/th/', 'http://www.dsd.go.th/', 'https://www.govchannel.go.th/', 'http://www.facebook.com/laboursakaeo/']","['/../link', '/../calendar']"
kalasin2.mol.go.th,kalasin.mol.go.th,"['http://labourproduct.mol.go.th/kalasin', 'http://www.mol.go.th/', 'http://www.kalasin.go.th/th/', 'http://www.doe.go.th/kalasin/', 'http://www.sso.go.th/kalasin/', 'http://www.dsd.go.th/kalasin', 'http://smartjob.doe.go.th/', 'http://www.thai-aec.com/', 'https://docs.google.com/forms/d/e/1FAIpQLSf7KUwcXWOc3zsyDLhyvxL4rTUkSoCju8JkTTDK5SpfpxVYBQ/viewform?c=0&w=1', 'https://goo.gl/forms/Lq4UdwBjiMR640ws1', 'https://www.facebook.com/profile.php?id=100007242826983&pnref=story', 'https://twitter.com/Kalasin_MOL', 'http://www.facebook.com/profile.php?id=100007242826983&pnref=story', 'https://play.google.com/store/apps/details?id=com.pun.cool.labour&hl=th']","['/../link', '/../calendar']"
khonkaen2.mol.go.th,khonkaen.mol.go.th,"['http://labourproduct.mol.go.th/khonkaen', 'https://www.facebook.com/Labour.khonkaen', 'http://line.me/ti/p/tlwB66_QuB', 'https://twitter.com/Labour_khonkaen', 'http://www.mol.go.th/anonymouse/home', 'http://www.khonkaen.go.th', 'http://www.mol.go.th/', 'http://khonkaen.labour.go.th/', 'http://www.sso.go.th/khonkaen/', 'http://doe.go.th/khonkaen/', 'http://www.dsd.go.th/khonkaen', 'http://www.doe.go.th/lmi-ne/', 'http://nlic.mol.go.th/', 'http://www.mol.go.th/anonymouse/content/Asean2012', 'http://counterservice.mol.go.th/main.php?filename=index', 'http://www.nocht.m-society.go.th/', 'http://202.28.34.209/', 'http://lb.mol.go.th/main.php?filename=index']","['/../link', '/../calendar']"
chaiyaphum2.mol.go.th,chaiyaphum.mol.go.th,"['http://labourproduct.mol.go.th/chaiyaphum', 'http://chaiyaphum.labour.go.th/index.php', 'http://www.sso.go.th/chaiyaphum/', 'https://www.doe.go.th/prd/chaiyaphum', 'http://www.dsd.go.th/chaiyaphum', 'http://www.chaiyaphum.go.th/', 'https://www.facebook.com/chaiyaphumlabour/']","['/../link', '/../calendar']"
nakhonphanom2.mol.go.th,nakhonphanom.mol.go.th,"['http://labourproduct.mol.go.th/nakhonphanom', 'http://www.facebook.com/labournakhonphanom', 'http://nlic.mol.go.th/', 'http://www.mol.go.th/anonymouse/home', 'http://www.mol.go.th/anonymouse/content/Asean2012', 'http://www.mol.go.th/anonymouse/trafficking2014', 'http://lb.mol.go.th/main.php?filename=index', 'http://www.mol.go.th/academician/content/page/7422', 'http://www.pwdsthai.com/index.php?option=com_content&view=article&id=2647&Itemid=220&lang=th', 'http://job.doe.go.th/', 'http://www.nakhonphanom.mol.go.th/node/4295', 'http://counterservice.mol.go.th/', 'http://www.mol.go.th/anonymouse/content/departments_mol']","['/../link', '/../calendar']"
nakhonratchasima2.mol.go.th,nakhonratchasima.mol.go.th,"['http://labourproduct.mol.go.th/nakhonratchasima', 'http://www.mol.go.th/anonymouse/home', 'http://www.doe.go.th/prd/nakhonratchasima', 'http://nakhonratchasima.labour.go.th/index.php?option=com_content&view=frontpage&Itemid=1', 'http://www.sso.go.th/nakhonratchasima/', 'http://www.dsd.go.th/nakhonratchasima', 'http://www.nakhonratchasima.go.th/korat2528/index.php', 'https://www.facebook.com/nakhonratchasima.counterservice', 'http://www.oic.go.th/content/act.htm', 'https://www.facebook.com/nakhonratlabour/#', 'https://twitter.com/nakhonratmol']","['/../link', '/../calendar']"
buengkan2.mol.go.th,buengkan.mol.go.th,['http://labourproduct.mol.go.th/buengkan'],"['/../link', '/../calendar']"
buriram2.mol.go.th,buriram.mol.go.th,"['http://labourproduct.mol.go.th/buriram', 'http://www.mol.go.th/', 'http://counterservice.mol.go.th/main.php?filename=index', 'http://www.buriram.go.th/', 'http://www.buriram.go.th/web3/', 'http://pr.prd.go.th/buriram/main.php?filename=human', 'https://www.doe.go.th/buriram', 'http://www.dsd.go.th/buriram', 'http://buriram.labour.go.th/', 'http://www.sso.go.th/buriram/', 'https://www.nacc.go.th/we/index.php', 'http://zerocorruption.mol.go.th/sites/default/files/news/files/conflict%20of%20interest.pdf']","['/../link', '/../calendar']"
mahasarakham2.mol.go.th,mahasarakham.mol.go.th,"['https://www.facebook.com/profile.php?id=100015176596299', 'https://www.doe.go.th/prd/mahasarakham', 'http://www.dsd.go.th/mahasarakham?region_id=0', 'http://www.sso.go.th/mahasarakham/', 'http://www.mol.go.th/anonymouse/home', 'http://www.mol.go.th/anonymouse/content/Asean2012', 'http://www.mol.go.th/anonymouse/trafficking2014', 'http://lb.mol.go.th/main.php?filename=index', 'http://job.doe.go.th/', 'http://counterservice.mol.go.th/main.php?filename=index', 'http://pr.prd.go.th/mahasarakham/main.php?filename=index', 'http://www.mahasarakham.go.th/petition/web/', 'http://labourproduct.mol.go.th/mahasarakham']","['/../link', '/../calendar']"
mukdahan2.mol.go.th,mukdahan.mol.go.th,['http://labourproduct.mol.go.th/mukdahan'],"['/../link', '/../calendar']"
yasothon2.mol.go.th,yasothon.mol.go.th,"['http://labourproduct.mol.go.th/yasothon', 'https://www.facebook.com/yasothonmol/', 'https://twitter.com/yasothonmol', 'http://www.yasothon.go.th/web/yaso_web.htm', 'http://www.oic.go.th/ginfo/', 'https://www.ega.or.th/th/index.php', 'http://lb.mol.go.th/main.php?filename=index', 'http://stat.dopa.go.th/stat/statnew/upstat_age.php', 'http://job.doe.go.th/', 'https://www.facebook.com/counterservice.mol?fref=ts', 'http://www.yasothon.go.th/web/damrongtham.html', 'http://analytic.nlic.mol.go.th/analytics/saw.dll?Dashboard&PortalPath=/shared/ADMIN/_portal/%E0%B9%81%E0%B8%A3%E0%B8%87%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%88%E0%B8%B1%E0%B8%87%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%94&Page=page%201&PageIdentifier=sjmrnmqfjpjbr09%u200B&Action=Navigate&P0=1&P1=cany&P2=%22%E0%B8%A1%E0%B8%B4%E0%B8%95%E0%B8%B4%E0%B8%9E%E0%B8%B7%E0%B9%89%E0%B8%99%E0%B8%97%E0%B8%B5%E0%B9%88%22.%22%E0%B8%88%E0%B8%B1%E0%B8%87%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%94%22&P3=%22%E0%B8%A2%E0%B9%82%E0%B8%AA%E0%B8%98%E0%B8%A3%22&NQUser=Public&NQPassword=P@ssw0rd', 'https://www.info.go.th/', 'https://www.info.go.th/']","['/../link', '/../calendar']"
roiet2.mol.go.th,roiet.mol.go.th,"['http://labourproduct.mol.go.th/roiet', 'http://www.mol.go.th/anonymouse/home', 'http://nlic.mol.go.th/', 'http://www.roiet.go.th/2013/', 'http://lb.mol.go.th/main.php?filename=index', 'http://www.mol.go.th/academician/content/page/7422', 'http://job.doe.go.th/']","['/../link', '/../calendar']"
loei2.mol.go.th,loei.mol.go.th,"['http://labourproduct.mol.go.th/loei', 'http://www.mol.go.th/anonymouse/home', 'http://www.doe.go.th/loei/', 'http://www.dsd.go.th/loei', 'http://loei.labour.go.th/', 'http://www.sso.go.th/loei/', 'http://www.loei.go.th/']","['/../link', '/../calendar']"
sisaket2.mol.go.th,sisaket.mol.go.th,"['http://labourproduct.mol.go.th/sisaket', 'http://www.doe.go.th/sisaket/', 'http://www.dsd.go.th/sisaket/', 'http://sisaket.labour.go.th/', 'http://www.sso.go.th/wprp/sisaket/', 'http://www.sisaket.go.th/', 'http://www.mol.go.th/anonymouse/home', 'http://www.doe.go.th/', 'http://www.dsd.go.th/', 'http://www.labour.go.th/th/', 'http://www.sso.go.th/wpr/home.jsp', 'http://www.thaigov.go.th/index.php/th/program1', 'http://www.sisaket.go.th/logo.slide/tour_calendar.pdf', 'http://sisaket.go.th/travel_sisaket/index.php', 'http://cdc.parliament.go.th/draftconstitution2/main.php?filename=index', 'http://www.oic.go.th/ginfo/', 'https://www.ega.or.th/th/index.php', 'http://www.ssko.moph.go.th/tobe/', 'http://sisaket.mol.go.th/node/2155', 'https://www.youtube.com/watch?v=7J-TDV-kN1U&list=PLDeKL3Pv2PfdS6LJm9-hXH1P7O_ihmtHb']","['/../link', '/../calendar']"
sakonnakhon2.mol.go.th,sakonnakhon.mol.go.th,"['http://labourproduct.mol.go.th/sakonnakhon', 'http://www.mol.go.th/anonymouse/home', 'https://www.doe.go.th/prd/sakonnakhon', 'http://www.sso.go.th/sakonnakhon/', 'http://sakonnakhon.labour.go.th/', 'http://www.dsd.go.th/sakonnakhon', 'https://www.facebook.com/profile.php?id=100005615409954']",['/../calendar']
surin2.mol.go.th,surin.mol.go.th,"['https://www.facebook.com/profile.php?id=100013779811271', 'https://www.facebook.com/surindoe/?fref=ts', 'http://www.mol.go.th/', 'http://www.surin.go.th/', 'http://counterservice.mol.go.th/main.php?filename=index', 'http://www.surin.go.th/srn_damrongdhama/rongtook_new.php', 'http://www.surin.go.th/information/', 'http://www.mol.go.th/anonymouse/content/Asean2012', 'http://labourproduct.mol.go.th/surin', 'http://www.mol.go.th/employee/rihgt_labor%20low']","['/sites/surin.mol.go.th/files/14502953_1089866477715537_2200860739227723448_n.jpg', '/../calendar']"
nongkhai2.mol.go.th,nongkhai.mol.go.th,"['http://labourproduct.mol.go.th/nongkhai', 'http://www.doe.go.th/nongkhai/', 'http://www.sso.go.th/nongkhai/', 'http://www.dsd.go.th/nongkhai', 'http://nongkhai.labour.go.th/', 'https://twitter.com/LabourMolnk', 'https://www.facebook.com/%E0%B8%AA%E0%B8%B3%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B9%81%E0%B8%A3%E0%B8%87%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%88%E0%B8%B1%E0%B8%87%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%AB%E0%B8%99%E0%B8%AD%E0%B8%87%E0%B8%84%E0%B8%B2%E0%B8%A2-232485306959615/?ref=hl', 'https://apps.go.th/Default.aspx']","['/../link', '/../calendar']"
nongbualamphu2.mol.go.th,nongbualamphu.mol.go.th,['http://labourproduct.mol.go.th/nongbualamphu'],"['/../link', '/../calendar']"
amnatcharoen2.mol.go.th,amnatcharoen.mol.go.th,['http://labourproduct.mol.go.th/amnatcharoen'],"['/../link', '/../calendar']"
udonthani2.mol.go.th,udonthani.mol.go.th,['http://labourproduct.mol.go.th/udonthani'],"['/../link', '/../calendar']"
ubonratchathani2.mol.go.th,ubonratchathani.mol.go.th,"['http://ubonratchathani.mol.go.th/sites/ubonratchathani.mol.go.th/files/teamubn_0.png', 'http://labourproduct.mol.go.th/ubonratchathani', 'http://www.ubisd.go.th/index.php?width=1366&height=768&cookie=1366', 'http://ubonratchathani.labour.go.th/2018/', 'http://www.sso.go.th/ubonratchathani/', 'http://www.doe.go.th/ubon/', 'http://ubonratchathani.mol.go.th/labour_ubn', 'http://ubonratchathani.mol.go.th/labour_ubn', 'http://www.ubonratchathani.go.th/th/', 'http://mol.go.th', 'http://www.ubonratchathani.go.th/th/index.php?name=menuview&file=readmenuview&id=71', 'http://www.ubonratchathani.go.th/th/index.php?name=menuview&file=readmenuview&id=69', 'http://www.ubonratchathani.go.th/ubondamrongdhama/', 'http://ubonratchathani.mol.go.th/help_ubmol']",[]
kamphaengphet2.mol.go.th,kamphaengphet.mol.go.th,"['http://labourproduct.mol.go.th/kamphaengphet', 'http://counterservice.mol.go.th/', 'http://lb.mol.go.th/', 'http://smartjob.doe.go.th/', 'https://www.doe.go.th/kamphaengphet', 'http://www.sso.go.th/kampaengphet/', 'http://kamphaengphet.labour.go.th/', 'http://www.dsd.go.th/kamphaengphet']","['/../link', '/../calendar']"
phetchabun2.mol.go.th,phetchabun.mol.go.th,"['http://www.mol.go.th/content/workerstation', 'http://lb.mol.go.th/main.php?filename=index', 'http://counterservice.mol.go.th/main.php?filename=index', 'http://www.labour.go.th/th%20/index.php?option=com_content&view=article&id=59:employee1&catid=45:employeecategory&Itemid=93', 'http://labourproduct.mol.go.th/phetchabun']","['/../link', '/../calendar']"
chiangrai2.mol.go.th,chiangrai.mol.go.th,"['http://labourproduct.mol.go.th/chiangrai', 'https://th-th.facebook.com/molcr/']","['/../link', '/../calendar']"
chiangmai2.mol.go.th,chiangmai.mol.go.th,"['http://www.sso.go.th/wpr/content.jsp?lang=th&cat=894&id=3729', 'http://www.doe.go.th/chiangmai', 'http://chiangmai.labour.go.th/', 'http://www.dsd.go.th/chiangmai', 'http://www.chiangmai.mol.go.th/node/898', 'http://www.chiangmai.mol.go.th/node/869', 'http://www.jobcm108.com/lib/login.php', 'http://www.chiangmai.mol.go.th/node/1026', 'http://www.chiangmai.mol.go.th/node/965', 'http://labourproduct.mol.go.th/chiangmai', 'https://line.me/R/ti/p/%40snm4279v']",['//slideful.com/v20180719_1110184118125851_pf.htm']
tak2.mol.go.th,tak.mol.go.th,"['http://www.thaigov.go.th/th/program1.html', 'http://labourproduct.mol.go.th/tak']",['/../calendar']
nakhonsawan2.mol.go.th,nakhonsawan.mol.go.th,"['http://labourproduct.mol.go.th/nakhonsawan', 'http://empui.doe.go.th/auth/index', 'http://empui.doe.go.th/auth/index', 'http://doe.go.th/elderly/', 'http://doe.go.th/elderly/', 'http://smartjob.doe.go.th/', 'http://smartjob.doe.go.th/', 'http://www.nakhonsawan.go.th/ita/', 'http://nakhonsawan.mol.go.th/node/33743']","['/../link', '/../calendar']"
nan2.mol.go.th,nan.mol.go.th,"['http://123.242.178.85/neof/', 'https://www.facebook.com/pages/สำนักงานแรงงานจังหวัดน่าน/375389779222097', 'http://www.facebook.com/pages/Ministry-of-Labour-Kingdom-of-Thailand/318275548214929', 'http://www.mol.go.th', 'http://intranet.mol.go.th/login/login.php', 'https://webmail.mol.go.th/zimbra/?zinitmode=http', 'http://lb.mol.go.th/', 'http://www.mol.go.th/anonymouse/content/Asean2012', 'http://www.nan.mol.go.th/node/24086 ', 'https://docs.google.com/spreadsheet/viewform?pli=1&rm=full&formkey=dFhyVGd0SXVYWVhZQnVGTi1yNTFvblE6MQ#gid=0', 'http://www.pwdsthai.com/index.php?option=com_content&view=article&id=2647&Itemid=220&lang=th', 'http://labourproduct.mol.go.th/nan']",['/../link']
phayao2.mol.go.th,phayao.mol.go.th,"['https://www.facebook.com/dimonload1/', 'http://labourproduct.mol.go.th/phayao']",['/../calendar']
phichit2.mol.go.th,phichit.mol.go.th,"['http://www.mol.go.th/content/workerstation', 'http://www.mol.go.th/anonymouse/news/46084', 'http://counterservice.mol.go.th/main.php?filename=index', 'http://nlic.mol.go.th/', 'https://www.ega.or.th/th/index.php', 'http://www.mol.go.th/anonymouse/laws', 'http://labourproduct.mol.go.th/phichit', 'http://www.facebook.com/profile.php?id=100010374826133', 'http://twitter.com/', 'http://counterservice.mol.go.th/main.php?filename=index\t', 'http://www.mol.go.th/content/services_Facility2559\t\t', 'http://www.mol.go.th/anonymouse/complaint\t\t', 'http://www.mol.go.th/anonymouse/link\t', 'http://phichit.mol.go.th/node/780', 'http://phichit.mol.go.th/node/706']","['/../link', '/../calendar']"
phitsanulok2.mol.go.th,phitsanulok.mol.go.th,"['http://phitsanulok.mol.go.th/node/59', 'http://labourproduct.mol.go.th/phitsanulok']","['/../link', '/../calendar']"
