"ad_id","n_id","at_type_col","at_type_row","ad_pic_s","ad_pic_h","ad_pic_w","ad_pic_b","ad_des","ad_font","ad_size","ad_bold","ad_italic","ad_color","ad_align","ad_count"
"13","1","3","5",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"14","1","1","6",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"15","1","2","6",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"16","1","3","6",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"17","1","1","7",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"18","1","2","7",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"19","1","3","7",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"20","1","1","8",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"21","1","2","8",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"22","1","3","8",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"23","1","1","9",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"24","1","2","9",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"25","1","3","9",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"26","1","1","10",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"27","1","2","10",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"28","1","3","10",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"29","1","1","11",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"30","1","2","11",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"31","1","3","11",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"32","2","1","1",,"200","200",,"

<p align=""center""><span style=""COLOR: #800080; FONT-SIZE: 12pt""><strong>โครงการฝึกอบรมและประชุมเชิงปฏิบัติการเจ้าหน้าที่ศูนย์บริการร่วม</strong></span></p>","MS Sans Serif","1",NULL,NULL,"#000000","left","0"
"33","2","1","2","t20150203153019_33.jpg","200","200","n20150203153019_33.jpg",NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"34","2","2","2","t20150203153021_34.jpg","200","200","n20150203153021_34.jpg",NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"35","2","3","2","t20150203153035_35.jpg","200","200","n20150203153035_35.jpg",NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"36","2","1","3","t20150203153057_36.jpg","200","200","n20150203153057_36.jpg",NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"37","2","2","3","t20150203153108_37.jpg","200","200","n20150203153108_37.jpg",NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"38","2","3","3","t20150203153154_38.jpg","200","200","n20150203153154_38.jpg",NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"39","2","1","4","t20150203153204_39.jpg","200","200","n20150203153204_39.jpg",NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"40","2","2","4","t20150203153248_40.jpg","200","200","n20150203153248_40.jpg",NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"41","2","3","4","t20150203153306_41.jpg","200","200","n20150203153306_41.jpg",NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"42","2","1","5",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"43","2","2","5",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"44","2","3","5",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"45","2","1","6",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"46","2","2","6",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"47","2","3","6",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"48","2","1","7",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"49","2","2","7",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"50","2","3","7",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"51","2","1","8",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"52","2","2","8",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"53","2","3","8",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"54","2","1","9",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"55","2","2","9",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"56","2","3","9",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"57","2","1","10",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"58","2","2","10",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"59","2","3","10",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"60","2","1","11",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"61","2","2","11",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"62","2","3","11",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"63","3","1","1",,"200","200",,"

<div align=""center""><span style=""COLOR: #800080; FONT-SIZE: 12pt""><strong>โครงการอบรมเจ้าหน้าที่ผู้ปฏิบัติงานสายด่วนกระทรวงแรงงาน ๑๕๐๖ </strong></span></div>

<div align=""center""><span style=""COLOR: #800080; FONT-SIZE: 12pt""><strong>วันจันทร์ที่ ๑๒ มกราคม ๒๕๕๒ </strong></span></div>

<div align=""center""><span style=""COLOR: #800080; FONT-SIZE: 12pt""><strong>ณ ห้องประชุมประกันสังคม ชั้น ๗ อาคารสำนักงานประกันสังคมเขตพื้นที่ ๓ กระทวงแรงงาน ดินแดง กรุงเทพมหานคร</strong></span></div>","MS Sans Serif","1",NULL,NULL,"#000000","left","0"
"64","3","1","2","t20150203153535_64.jpg","200","200","n20150203153535_64.jpg","<span style=""FONT-SIZE: 10pt"">ลงทะเบียนก่อนอบรม</span>","MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"65","3","2","2","t20150203154631_65.jpg","200","200","n20150203154631_65.jpg","<span style=""FONT-SIZE: 10pt"">ผู้เข้ารับการอบรม ๑๕๐๖</span>","MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"66","3","3","2","t20150203154649_66.jpg","200","200","n20150203154649_66.jpg","<span style=""FONT-SIZE: 10pt"">ท่านประธานรอเปิดการอบรม</span>","MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"67","3","1","3","t20150203154658_67.jpg","200","200","n20150203154658_67.jpg","<span style=""FONT-SIZE: 10pt"">ท่านรองสมเกียรติ ฉายะศรีวงศ์ กล่าวรายงาน</span>","MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"68","3","2","3","t20150203154701_68.jpg","200","200","n20150203154701_68.jpg","<span style=""FONT-SIZE: 10pt"">พิธีการเปิดฝึกอบรมโดย ปลัดกระทรวงแรงงาน</span>","MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"69","3","3","3","t20150203154704_69.jpg","200","200","n20150203154704_69.jpg","<span style=""FONT-SIZE: 10pt"">ปลัดกระทรวงแรงงาน ให้ข้อคิดและคำแนะนำ</span>","MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"70","3","1","4","t20150203154712_70.jpg","200","200","n20150203154712_70.jpg","<span style=""FONT-SIZE: 10pt"">การบรรยายเรื่อง จิตวิทยาในการตอบข้อซักถามและเทคนิคในการให้บริการเพื่อสร้างความสุขฯ โดยนายแพทย์ ชาญวิทย์ วสันต์ธนารัตน์ </span>","MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"71","3","2","4","t20150203154715_71.jpg","200","200","n20150203154715_71.jpg","

<p>&nbsp;</p>","MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"72","3","3","4","t20150203154748_72.jpg","200","200","n20150203154748_72.jpg","<span style=""FONT-SIZE: 10pt"">การบรรยายโดยวิทยากรของ กรมการจัดหางาน กรมพัฒนาฝีมือแรงงาน กรมสวัสดิการและคุ้มรองแรงงาน และสำนักงานประกันสังคม</span>","MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"73","3","1","5",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"74","3","2","5",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"75","3","3","5",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"76","3","1","6",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"77","3","2","6",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"78","3","3","6",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"79","3","1","7",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"80","3","2","7",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"81","3","3","7",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"82","3","1","8",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"83","3","2","8",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"84","3","3","8",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"85","3","1","9",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"86","3","2","9",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"87","3","3","9",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"88","3","1","10",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"89","3","2","10",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"90","3","3","10",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"91","3","1","11",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"92","3","2","11",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"93","3","3","11",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"94","4","1","1",,"0","0",,"

<table style=""WIDTH: 95%; BORDER-COLLAPSE: collapse"" align=""center"">
	
<tbody>
		
<tr>
			
<td>
				
<div><span style=""FONT-FAMILY: Tahoma; FONT-SIZE: 10pt""><strong>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; สำนักงานประกันสังคม (สปส.) บรรเทาภาระให้นายจ้างและผู้ประกันตน โดยการลดอัตราเงินสมทบกองทุนประกันสังคม จากเดิมฝ่ายละ ร้อยละ 5เป็นฝ่ายละ ร้อยละ 3 ตั้งแต่งวดเดือน ก.ค. งวดเดือน ธ.ค. 52</strong></span></div>
				
<div><span style=""FONT-FAMILY: Tahoma; FONT-SIZE: 10pt"">&nbsp;</span></div>
				
<div><span style=""FONT-FAMILY: Tahoma; FONT-SIZE: 10pt""><strong></strong></span></div>
				
<div><span style=""FONT-FAMILY: Tahoma; FONT-SIZE: 10pt""><strong>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; สำนักงานประกันสังคม (สปส.) เปิดเผยว่า </strong>สำนักงานประกันสังคมได้มีมาตรการ ""ลดอัตราเงินสมทบกองทุนประกันสังคม เพื่อเป็นการบรรเทาภาระให้กับนายจ้างผู้ประกันตน ซึ่งสนองตอบต่อมาตรการในการบรรเทาปัญหาการเลิกจ้างของกระทรวงแรงงานในการลดค่าครองชีพตามมาตรการ ""3 ลด 3 เพิ่ม จากเดิมฝ่ายละ ร้อยละ 5 ของค่าจ้าง เป็นฝ่ายละ ร้อยละ 3 ของค่าจ้าง ส่วนรัฐบาลจ่ายเงินสมทบในอัตราร้อยละ 2.75 เท่าเดิม โดยจะเริ่มลดอัตราเงินสมทบ ตั้งแต่วันที่ 1 กรกฎาคม 2552 และสิ้นสุดวันที่ 31 ธันวาคม 2552 ซึ่ง วันที่ 1 มกราคม 2553 ให้นายจ้างนำส่งเงินสมทบในส่วนของนายจ้างและผู้ประกันตน ฝ่ายละ ร้อยละ 5 เช่นเดิม ดังนั้น การนำส่งเงินสมทบของงวดเดือนกรกฎาคม ถึง งวดเดือนธันวาคม 2552 (6 งวด) นายจ้างจะต้องนำส่งเงินสมทบในส่วนของนายจ้างและผู้ประกันตนภายในวันที่ 15 ของเดือนถัดจากเดือนที่มีการจ่ายค่าจ้าง ในอัตราฝ่ายละร้อยละ 3 ของค่าจ้าง เช่น ค่าจ้างงวดเดือนกรกฎาคม 2552 นายจ้างจะต้องนำส่งเงินสมทบในอัตราฝ่ายละร้อยละ 3 ของค่าจ้าง (ฐานค่าจ้าง 15,000 บาท นายจ้างจะต้องนำส่งเงินสมทบใน<strong>ส่วนของนายจ้างและผู้ประกันตนฝ่ายละ450 บาทต่อเดือน)</strong> แต่สำหรับ ค่าจ้าง งวดเดือนมกราคม 2553 <strong>นายจ้างจะต้องนำส่งเงินสมทบ ในอัตราฝ่ายละร้อยละ 5 ของค่าจ้าง (ฐานค่าจ้าง 15,000 บาท นายจ้างจะต้องนำส่งเงินสมทบในส่วนของนายจ้างและผู้ประกันตน ฝ่ายละ 750 บาทต่อเดือน)</strong> ตามเดิม </span></div>
				
<div><span style=""FONT-FAMILY: Tahoma; FONT-SIZE: 10pt"">&nbsp;</span></div>
				
<div><span style=""FONT-FAMILY: Tahoma; FONT-SIZE: 10pt"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; สำหรับผู้ประกันตนตามมาตรา 39 (ผู้ประกันตนโดยสมัครใจ) ได้กำหนดลดอัตราเงินสมทบ จากเดิมร้อยละ 9 ของค่าจ้าง (ฐานค่าจ้าง 4,800 บาท) ลดเหลือร้อยละ 5 ของค่าจ้าง เช่นกัน <strong>ดังนั้นผู้ประกันตนตามมาตรา 39 ที่นำส่งเงินสมทบเดิม 432 บาท เป็นนำส่งเงินสมทบเดือนละ 240 บาท ตั้งแต่งวดเดือนกรกฎาคม 2552 และสิ้นสุดที่งวดเดือน ธันวาคม 2552 เป็นระยะเวลา 6 งวด ทั้งนี้ งวดเดือน มกราคม 2553 ผู้ประกันตนตามมาตรา 39 ให้นำส่งเงินสมทบ เดือนละ 432 บาท เช่นเดิม </strong></span></div>
				
<div><span style=""FONT-FAMILY: Tahoma; FONT-SIZE: 10pt"">&nbsp;</span></div>
				
<div><span style=""FONT-FAMILY: Tahoma; FONT-SIZE: 10pt"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; หากนายจ้างและผู้ประกันตนมีข้อสงสัย สามารถสอบถามรายละเอียดเพิ่มเติม ได้ที่สำนักงานประกันสังคมเขตพื้นที่/จังหวัด/สาขาทั่วประเทศ หรือ โทร.1506 ติดต่อเจ้าหน้าที่โดยตรง ให้บริการทุกวันไม่เว้นวันหยุด ตั้งแต่เวลา 07.00  19.00 น.หรือติดต่อระบบโทรศัพท์ ตอบรับอัตโนมัติให้บริการทุกวันตลอด 24 ชั่วโมง หรือดูรายละเอียดได้ที่ <span style=""FONT-FAMILY: Tahoma; COLOR: #800080; FONT-SIZE: 12pt""><a href=""http://www.sso.go.th/"">http://www.sso.go.th/</a></span></span></div>
				
<div><span style=""FONT-FAMILY: Tahoma; FONT-SIZE: 10pt""><span style=""FONT-FAMILY: Tahoma; COLOR: #800080; FONT-SIZE: 12pt"">&nbsp;</span></span></div>
				
<div><span style=""FONT-FAMILY: Tahoma; FONT-SIZE: 10pt""><span style=""FONT-FAMILY: Tahoma; COLOR: #800080; FONT-SIZE: 12pt"">&nbsp;</span></span></div></td>
		</tr>
	</tbody>
</table>. ",,"0",,,,,"0"
"95","5","1","1",,"0","0",,"

<table style=""WIDTH: 95%; BORDER-COLLAPSE: collapse"" align=""center"">
	
<tbody>
		
<tr>
			
<td>
				
<div><span style=""FONT-FAMILY: Tahoma; FONT-SIZE: 10pt"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; โครงการต้นกล้าอาชีพ เริ่มรับสมัครพร้อมกันทั่วประเทศ ตั้งแต่วันที่ 1  16 สิงหาคม 2552 โดยเริ่มฝึกอบรมเดือนกันยายน 52 สามารถดูรายละเอียดและสมัครได้ทางเว็บไซต์ <strong><span style=""COLOR: #800080"">www.tonkla-archeep.com </span></strong>หรือโทรสอบถาม call center 1111</span></div>
				
<div><span style=""FONT-FAMILY: Tahoma; FONT-SIZE: 10pt"">&nbsp;</span></div>
				
<div><span style=""FONT-FAMILY: Tahoma; FONT-SIZE: 10pt"">&nbsp;</span></div></td>
		</tr>
	</tbody>
</table>",,"0",,,,,"0"
"96","6","1","1",,"0","0",,"

<table style=""WIDTH: 95%; BORDER-COLLAPSE: collapse"" align=""center"">
	
<tbody>
		
<tr>
			
<td>
				
<div><span style=""FONT-FAMILY: Tahoma; FONT-SIZE: 10pt""><strong>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; ""มาตรการลดอัตราเงินสมทบกองทุนประกันสังคม""</strong> เป็นมาตรการหนึ่งของสำนักงานประกันสังคมที่ดเนินการ เพื่อเป็นการบรรเทาภาวะค่าใช้จ่ายให้กับนายจ้างและผุ้ประกันตน ซึ่งสนองตอบต่อมาตรการในการบรรเทาปัญหาเลิกจ้างของกระทรวงแรงงานในการ ลดค่าครองชีพ โดนได้ปรับลดอัตราเงินสมทบให้กับนายจ้าง และผู้ประกันตน (มาตรา 33 ) จาก<strong>เดิมฝ่ายละ ร้อยละ 5 เป็นฝ่ายละ ร้อยละ 3 ตั้งแต่ งวดเดือน ก.ค.  งวดเดือน ธ.ค. 52 ส่วนรัฐบาลจ่ายสมทบในอัตราร้อยละ 2.75 เท่าเดิม</strong> </span></div>
				
<div><span style=""FONT-FAMILY: Tahoma; FONT-SIZE: 10pt"">&nbsp;</span></div>
				
<div><span style=""FONT-FAMILY: Tahoma; FONT-SIZE: 10pt"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; สำหรับผู้ประกันตนตามมาตรา 39 (ผู้ประกันตนโดยสมัครใจ) ฐานค่าจ้าง 4,800 บาทได้กำหนดลดอัตราเงินสมทบ จากเดิมร้อยละ 9 ของค่าจ้าง ( 4,800 x 9%) จ่าย 432 บาท/เดือน ลดเหลือร้อยละ 5 ของค่าจ้าง (4,800 x 5%) จ่าย 240 บาท/เดือน<strong> ดังนั้นผู้ประกันตนตามมาตรา 39&nbsp; ที่นำส่งเงินสมทบเดิม 432 บาท เป็นนำส่งเงินสมทบเดือนละ&nbsp;&nbsp; 240 บาท ตั้งแต่งวดเดือน กรกฎาคม 2552 และสิ้นสุดที่งวดเดือน ธันวาคม 2552 เป็นระยะเวลา&nbsp; 6 งวด ทั้งนี้ งวดเดือน มกราคม 2553 ผู้ประกันตนตามมาตรา 39 ให้นำส่งเงินสมทบ เดือนละ&nbsp; 432 บาท เช่นเดิม</strong></span></div>
				
<div><span style=""FONT-FAMILY: Tahoma; FONT-SIZE: 10pt"">&nbsp;</span></div>
				
<div><span style=""FONT-FAMILY: Tahoma; FONT-SIZE: 10pt"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; หากนายจ้างและผู้ประกันตนมีข้อสงสัย สามารถสอบถามรายละเอียดเพิ่มเติม ได้ที่สำนักงานประกันสังคมเขตพื้นที่/จังหวัด/สาขาทั่วประเทศ หรือ โทร.1506 ติดต่อเจ้าหน้าที่โดยตรง ให้บริการทุกวันไม่เว้นวันหยุด ตั้งแต่เวลา 07.00  19.00 น.หรือติดต่อระบบโทรศัพท์ ตอบรับอัตโนมัติให้บริการทุกวันตลอด 24 ชั่วโมง หรือดูรายละเอียดได้ที่ </span><a href=""http://www.sso.go.th""><span style=""FONT-FAMILY: Tahoma; COLOR: #800080; FONT-SIZE: 12pt""><strong>www.sso.go.th</strong></span></a></div>
				
<div><span style=""FONT-FAMILY: Tahoma; FONT-SIZE: 10pt"">&nbsp;</span></div>
				
<div><span style=""FONT-FAMILY: Tahoma; FONT-SIZE: 10pt"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <span style=""COLOR: #800080""><span style=""FONT-SIZE: 12pt"">อย่าลืม!</span> งวดเดือนมกราคม 2553 นายจ้างและผู้ประกันตน (มาตรา33) จะต้องกลับมานำส่งเงินสมทบในอัตราเดิม คือ ในตราฝ่ายร้อยละ 5 ขอค่าจ้างตามเดิม และผู้ประกันตน ตามมาตรา 39 (ผู้ประกันตนโดยสมัครใจ) ให้นำส่งเงินสมทบในอัตราเดือนละ 432 บาท เช่นเดิม</span></span></div>
				
<div><span style=""FONT-FAMILY: Tahoma; FONT-SIZE: 10pt""><span style=""COLOR: #800080"">&nbsp;</span></span></div>
				
<div><span style=""FONT-FAMILY: Tahoma; FONT-SIZE: 10pt""><span style=""COLOR: #800080"">&nbsp;</span></span></div></td>
		</tr>
	</tbody>
</table>",,"0",,,,,"0"
