new_url,old_url,address,email,tel,index,active_url
singburi2.mol.go.th,singburi.mol.go.th,สำนักงานแรงงานจังหวัดสิงห์บุรีศาลากลางจังหวัด ชั้น 2 (อาคาร 3 ชั้น) ตำบลบางมัญ อำเภอเมือง จังหวัดสิงห์บุรี 16000,sbr.labour@hotmail.com,0-3650-7199,14,https://singburi2.mol.go.th/wp-admin/admin.php?page=acf-options
suphanburi2.mol.go.th,suphanburi.mol.go.th,สำนักงานแรงงานจังหวัดสุพรรณบุรี ศาลากลางจังหวัดสุพรรณบุรี ชั้น 2 ถนนสุพรรณบุรี-ชัยนาท ตำบลสนามชัย อำเภอเมือง จังหวัดสุพรรณบุรี 72000,suphanburi@mol.go.th,0-3553-5079,15,https://suphanburi2.mol.go.th/wp-admin/admin.php?page=acf-options
angthong2.mol.go.th,angthong.mol.go.th,สำนักงานแรงงานจังหวัดอ่างทอง ศาลากลางจังหวัด ชั้น2 อำเภอเมือง จังหวัดอ่างทอง 14000,angthong@mol.go.th,0-3561-1553,16,https://angthong2.mol.go.th/wp-admin/admin.php?page=acf-options
chanthaburi2.mol.go.th,chanthaburi.mol.go.th,สำนักงานแรงงานจังหวัดจันทบุรี 1212/21 ถนน่าแฉลบ ตำบลตลาด อำเภอเมือง จังหวัดจันทบุรี 22000,chanthaburi@mol.go.th,0-3930-1297,17,https://chanthaburi2.mol.go.th/wp-admin/admin.php?page=acf-options
chachoengsao2.mol.go.th,chachoengsao.mol.go.th,สำนักงานแรงงานจังหวัดฉะเชิงเทรา ศาลากลางจังหวัด ชั้น1 ถนนเรืองวุฒิ อำเภอเมือง จังหวัดฉะเชิงเทรา 24000,chachoengsao@mol.go.th,0-3881-4441,18,https://chachoengsao2.mol.go.th/wp-admin/admin.php?page=acf-options
chonburi2.mol.go.th,chonburi.mol.go.th,สำนักงานแรงงานจังหวัดชลบุรี ศาลากลางจังหวัด ถนนมนตเสวี อำเภอเมือง จังหวัดชลบุรี 20000,chon13.1@chonburi.go.th,0-3828-2447,19,https://chonburi2.mol.go.th/wp-admin/admin.php?page=acf-options
trat2.mol.go.th,trat.mol.go.th,สำนักงานแรงงานจังหวัดตราด ศาลากลางจังหวัด ชั้น2 ถนนราษฎร์นิยม ตำบลบางพระ อำเภอเมือง จังหวัดตราด 23000,trat@mol.go.th,039-511179-80,20,https://trat2.mol.go.th/wp-admin/admin.php?page=acf-options
nakhonnayok2.mol.go.th,nakhonnayok.mol.go.th,สำนักงานแรงงานจังหวัดนครนายก ศาลากลางจังหวัด ชั้น5 อำเภอเมือง จังหวัดนครนายก 26000,nakhonnayok@mol.go.th,0-3731-3256,21,https://nakhonnayok2.mol.go.th/wp-admin/admin.php?page=acf-options
prachinburi2.mol.go.th,prachinburi.mol.go.th,สำนักงานแรงงานจังหวัดปราจีนบุรี ศาลากลางจังหวัด ชั้น2 หมู่11 ตำบลไม้เค็ด อำเภอเมือง จังหวัดปราจีนบุรี 25230,phrachinburi@mol.go.th,0-3745-4027-87,22,https://prachinburi2.mol.go.th/wp-admin/admin.php?page=acf-options
rayong2.mol.go.th,rayong.mol.go.th,สำนักงานแรงงานจังหวัดระยอง ศูนย์ราชการจังหวัด ชั้น2 ตำบลเนินพระ อำเภอเมือง จังหวัดระยอง 21150,labour21150@hotmail.com,0-3869-4020-1,23,https://rayong2.mol.go.th/wp-admin/admin.php?page=acf-options
sakaeo2.mol.go.th,sakaeo.mol.go.th,สำนักงานแรงงานจังหวัดสระแก้ว ศาลากลางจังหวัด อำเภอเมือง จังหวัดสระแก้ว 27000,labour27000@hotmail.com,0-3742-5024-5,24,https://sakaeo2.mol.go.th/wp-admin/admin.php?page=acf-options
kalasin2.mol.go.th,kalasin.mol.go.th,สำนักงานแรงงานจังหวัดกาฬสินธุ์ ศาลากลางจังหวัด ชั้น3 อำเภอเมือง จังหวัดกาฬสินธุ์ 46000,kalasin@mol.go.th,0-4381-1443,25,https://kalasin2.mol.go.th/wp-admin/admin.php?page=acf-options
khonkaen2.mol.go.th,khonkaen.mol.go.th,สำนักงานแรงงานจังหวัดขอนแก่น ศาลากลางจังหวัด ชั้น3 อำเภอเมือง จังหวัดขอนแก่น 40000,khonkaen@mol.go.th,0-4324-2806,26,https://khonkaen2.mol.go.th/wp-admin/admin.php?page=acf-options
chaiyaphum2.mol.go.th,chaiyaphum.mol.go.th,สำนักงานแรงงานจังหวัดชัยภูมิ ศาลากลางจังหวัด ชั้น3 ถนนทักษิณ ตำบลในเมือง อำเภอเมือง จังหวัดชัยภูมิ 36000,Chaiyaphum-mol@hotmail.com,0-4481-2401,27,https://chaiyaphum2.mol.go.th/wp-admin/admin.php?page=acf-options
nakhonphanom2.mol.go.th,nakhonphanom.mol.go.th,สำนักงานแรงงานจังหวัดนครพนม ศูนย์ราชการกระทรวงแรงงาน ชั้น4 35/12 ถนนกลางเมือง อำเภอเมือง จังหวัดนครพนม 48000,22nhwnao@mol.go.th,0-4251-4058-9,28,https://nakhonphanom2.mol.go.th/wp-admin/admin.php?page=acf-options
nakhonratchasima2.mol.go.th,nakhonratchasima.mol.go.th,สำนักงานแรงงานจังหวัดนครราชสีมา 567/6-7 ถนนพิบูลละเอียด ตำบลหนองไผ่ล้อม อำเภอเมือง จังหวัดนครราชสีมา 30000,test@mol.go.th,0-4425-8330,29,https://nakhonratchasima2.mol.go.th/wp-admin/admin.php?page=acf-options
buengkan2.mol.go.th,buengkan.mol.go.th,สำนักงานแรงงานจังหวัดบึงกาฬ สำนักงานแรงงานจังหวัดบึงกาฬ ศาลากลางจังหวัดบึงกาฬ ชั้น3 ถ.บึงกาฬ-นครพนม ต.บึงกาฬ  อ.เมืองบึงกาฬ จ.บึงกาฬ 38000,buengkan@mol.go.th,0-4249-2518,30,https://buengkan2.mol.go.th/wp-admin/admin.php?page=acf-options
buriram2.mol.go.th,buriram.mol.go.th,สำนักงานแรงงานจังหวัดบุรีรัมย์ ศูนย์ราชการจังหวัดบุรีรัมย์ (ชั้น 2) ตำบลเสม็ด อำเภอเมือง จังหวัดบุรีรัมย์ 31000,buriam@mol.mail.go.th,044-666-529-30,31,https://buriram2.mol.go.th/wp-admin/admin.php?page=acf-options
mahasarakham2.mol.go.th,mahasarakham.mol.go.th,สำนักงานแรงงานจังหวัดมหาสารคาม ศูนย์ราชการกระทรวงแรงงาน ตำบลแก่งเลิงจาน อำเภอเมือง จังหวัดมหาสารคาม 44000,mahasa@mol.go.th,043-971316-7,32,https://mahasarakham2.mol.go.th/wp-admin/admin.php?page=acf-options
mukdahan2.mol.go.th,mukdahan.mol.go.th,สำนักงานแรงงานจังหวัดมุกดาหาร ศาลากลางจังหวัด ชั้น2 อำเภอเมือง จังหวัดมุกดาหาร 49000,pirintuang@hotmail.com,0-4261-3044,33,https://mukdahan2.mol.go.th/wp-admin/admin.php?page=acf-options
yasothon2.mol.go.th,yasothon.mol.go.th,สำนักงานแรงงานจังหวัดยโสธร ศาลากลางจังหวัด ชั้น4 ถนนแจ้งสนิท อำเภอเมือง จังหวัดยโสธร 35000,yasothon@mol.go.th,0-4571-1084,34,https://yasothon2.mol.go.th/wp-admin/admin.php?page=acf-options
roiet2.mol.go.th,roiet.mol.go.th,สำนักงานแรงงานจังหวัดร้อยเอ็ด ศาลากลางจังหวัด ชั้น1 ถนนเทวาภิบาล ตำบลในเมือง อำเภอเมือง จังหวัดร้อยเอ็ด 45000,roiet@mol.mail.go.th,043-516605-6,35,https://roiet2.mol.go.th/wp-admin/admin.php?page=acf-options
loei2.mol.go.th,loei.mol.go.th,สำนักงานแรงงานจังหวัดเลย ศาลากลางจังหวัด หลังเก่า ชั้น2 ถนนมลิวรรณ ตำบลกุดป่อง อำเภอเมือง จังหวัดเลย 42000,loei@mol.go.th,0-4281-3557-8,36,https://loei2.mol.go.th/wp-admin/admin.php?page=acf-options
sisaket2.mol.go.th,sisaket.mol.go.th,สำนักงานแรงงานจังหวัดศรีสะเกษ ศาลากลางจังหวัด ชั้น2 ถนนเทพา อำเภอเมือง จังหวัดศรีสะเกษ 33000,sisaket@mol.go.th,0-4561-4061,37,https://sisaket2.mol.go.th/wp-admin/admin.php?page=acf-options
sakonnakhon2.mol.go.th,sakonnakhon.mol.go.th,สำนักงานแรงงานจังหวัดสกลนคร ศาลากลางจังหวัด ชั้น1 ตำบลธาตุเชิงมุม อำเภอเมือง จังหวัดสกลนคร 47000,sakonnakhon@mol.go.th,0-4271-2564,38,https://sakonnakhon2.mol.go.th/wp-admin/admin.php?page=acf-options
surin2.mol.go.th,surin.mol.go.th,สำนักงานแรงงานจังหวัดสุรินทร์ 499/1-2 ถนนธนสาร ตำบลในเมือง อำเภอเมือง จังหวัดสุรินทร์ 32000,surin@mol.go.th,0-4451-8155,39,https://surin2.mol.go.th/wp-admin/admin.php?page=acf-options
nongkhai2.mol.go.th,nongkhai.mol.go.th,สำนักงานแรงงานจังหวัดหนองคาย ศาลากลางจังหวัด ชั้น2 อำเภอเมือง จังหวัดหนองคาย 43000,nongkhai@mol.mail.go.th,0-4241-2428,40,https://nongkhai2.mol.go.th/wp-admin/admin.php?page=acf-options
nongbualamphu2.mol.go.th,nongbualamphu.mol.go.th,สำนักงานแรงงานจังหวัดหนองบัวลำภู ศาลากลางจังหวัด ชั้น2 ถนนหนองบัวลำภู-เลย ตำบลลำภู อำเภอเมือง จังหวัดหนองบัวลำภู 39000,nongbua@mol.mail.go.th,042-316738-9,41,https://nongbualamphu2.mol.go.th/wp-admin/admin.php?page=acf-options
amnatcharoen2.mol.go.th,amnatcharoen.mol.go.th,สำนักงานแรงงานจังหวัดอำนาจเจริญ ศาลากลางจังหวัด ชั้น2 อำเภอเมือ จังหวัดอำนาจเจริญ 37000,amnat@mol.go.th,0-4552-3035,42,https://amnatcharoen2.mol.go.th/wp-admin/admin.php?page=acf-options
udonthani2.mol.go.th,udonthani.mol.go.th,สำนักงานแรงงานจังหวัดอุดรธานี ศาลากลางจังหวัด อาคาร 2 ชั้น 5 อำเภอเมือง จังหวัดอุดรธานี 41000,udonthanimol@hotmail.com,0-4224-3197,43,https://udonthani2.mol.go.th/wp-admin/admin.php?page=acf-options
ubonratchathani2.mol.go.th,ubonratchathani.mol.go.th,สำนักงานแรงงานจังหวัดอุบลราชธานี ศาลากลางจังหวัดอุบลราชธานี ชั้น 2 ถนนแจ้งสนิท ตำบลแจระแม อำเภอเมือง จังหวัดอุบลราชธานี 34000,ubonrat@mol.go.th,0-4534-4632,44,https://ubonratchathani2.mol.go.th/wp-admin/admin.php?page=acf-options
kamphaengphet2.mol.go.th,kamphaengphet.mol.go.th,สำนักงานแรงงานจังหวัดกำแพงเพชร ศาลากลางจังหวัด ชั้น2 ตำบลหนองปลิง อำเภอเมือง จังหวัดกำแพงเพชร 62000,kamphaeng@mol.mail.go.th,0-5570-5028-9,45,https://kamphaengphet2.mol.go.th/wp-admin/admin.php?page=acf-options
phetchabun2.mol.go.th,phetchabun.mol.go.th,สำนักงานแรงงานจังหวัดเพชรบูรณ์ ศาลากลางจังหวัด ชั้น 3 ถนนสระบุรี-หล่มสัก ตำบลสะเดียง อำเภอเมืองเพชรบูรณ์ จังหวัดเพชรบูรณ์ 67000,phetchabun@mol.go.th,0-5672-9766-7 ,46,https://phetchabun2.mol.go.th/wp-admin/admin.php?page=acf-options
chiangrai2.mol.go.th,chiangrai.mol.go.th,สำนักงานแรงงานจังหวัดเชียงราย ศูนย์ราชการกระทรวงแรงงาน ถนนศูนย์ราชการ ตำบลริมกก อำเภอเมือง จังหวัดเชียงราย 57100,chiangrai@mol.go.th,0-5315-2067,47,https://chiangrai2.mol.go.th/wp-admin/admin.php?page=acf-options
chiangmai2.mol.go.th,chiangmai.mol.go.th,สำนักงานแรงงานจังหวัดเชียงใหม่ ศาลากลางจังหวัด ชั้น1 ถนนโชตนา อำเภอเมือง จ.เชียงใหม่ 50300,chiangmai@mol.go.th,0-5311-2622,48,https://chiangmai2.mol.go.th/wp-admin/admin.php?page=acf-options
tak2.mol.go.th,tak.mol.go.th,สำนักงานแรงงานจังหวัดตาก ศาลาากลางจังหวัด ชั้น1 ถนนพหลโยธิน อำเภอเมือง จังหวัดตาก 63000,tak@mol.go.th,0-5551-3773,49,https://tak2.mol.go.th/wp-admin/admin.php?page=acf-options
nakhonsawan2.mol.go.th,nakhonsawan.mol.go.th,สำนักงานแรงงานจังหวัดนครสวรรค์ ศาลากลางจังหวัด ชั้น3 ถนนสวรรค์วิถี อำเภอเมือง จังหวัดนครสวรรค์ 60000,nakhonsawan@mol.go.th,0-5680-3549,50,https://nakhonsawan2.mol.go.th/wp-admin/admin.php?page=acf-options
nan2.mol.go.th,nan.mol.go.th,สำนักงานแรงงานจังหวัดน่าน ศาลากลางชั้น 1 ตำบลไชยสถาน อำเภอเมือง จังหวัดน่าน 55000,nan@mol.go.th,0-5471-6435,51,https://nan2.mol.go.th/wp-admin/admin.php?page=acf-options
phayao2.mol.go.th,phayao.mol.go.th,สำนักงานแรงงานจังหวัดพะเยา ศาลากลางจังหวัด (หลังเก่า) ชั้น2 อำเภอเมือง จังหวัดพะเยา 560000,phayao@mol.go.th,0-5444-9515-6,52,https://phayao2.mol.go.th/wp-admin/admin.php?page=acf-options
phichit2.mol.go.th,phichit.mol.go.th,สำนักงานแรงงานจังหวัดพิจิตร ศาลากลางจังหวัด อาคารใหม่ ชั้น2 ต.ท่าหลวง อ.เมือง จ.พิจิตร 66000,phichit@mol.go.th,0-5661-3761,53,https://phichit2.mol.go.th/wp-admin/admin.php?page=acf-options
phitsanulok2.mol.go.th,phitsanulok.mol.go.th,สำนักงานแรงงานจังหวัดพิษณุโลก ศาลากลางจังหวัดหลังใหม่ ชั้น3 ถนนวังจันทร์ อำเภอเมือง จังหวัดพิษณุโลก 65000,phitsanulok@mol.go.th,0-5524-8075-6,54,https://phitsanulok2.mol.go.th/wp-admin/admin.php?page=acf-options
phrae2.mol.go.th,phrae.mol.go.th,สำนักงานแรงงานจังหวัดแพร่ ศาลากลางจังหวัด ชั้น4 ถนนไชยบูรณ์ ตำบลในเวียง อำเภอเมือง จังหวัดแพร่ 54000,phrae@mol.go.th,0-5452-4658-9,55,https://phrae2.mol.go.th/wp-admin/admin.php?page=acf-options
maehongson2.mol.go.th,maehongson.mol.go.th,สำนักงานแรงงานจังหวัดแม่ฮ่องสอน ศาลากลางจังหวัด ชั้น 1 ถนนขุนลุมประพาส อำเภอเมือง จังหวัดแม่ฮ่องสอน 58000,maehongson@mol.go.th,0-5361-1184,56,https://maehongson2.mol.go.th/wp-admin/admin.php?page=acf-options
lampang2.mol.go.th,lampang.mol.go.th,สำนักงานแรงงานจังหวัดลำปาง ศาลากลางจังหวัดชั้น 2 ถนนวชิราวุธดำเนิน ตำบลพระบาท อำเภอเมือง จังหวัดลำปาง 52000,lampang@mol.mail.go.th,054-265058,57,https://lampang2.mol.go.th/wp-admin/admin.php?page=acf-options
lamphun2.mol.go.th,lamphun.mol.go.th,สำนักงานแรงงานจังหวัดลำพูน อาคารศูนย์ราชการกระทรวงแรงงาน ชั้น 4A หมู่10 ตำบลบ้านกลาง อำเภอเมือง จังหวัดลำพูน 51000,lamphun@mol.go.th,(053)525-615-6,58,https://lamphun2.mol.go.th/wp-admin/admin.php?page=acf-options
sukhothai2.mol.go.th,sukhothai.mol.go.th,สำนักงานแรงงานจังหวัดสุโขทัย ศาลากลางจังหวัด ชั้น4 ถนนนิกรเกษม อำเภอเมือง จังหวัดสุโขทัย 64000,test@mol.go.th,0-5561-2758,59,https://sukhothai2.mol.go.th/wp-admin/admin.php?page=acf-options
uttaradit2.mol.go.th,uttaradit.mol.go.th,สำนักงานแรงงานจังหวัดอุตรดิตถ์ ศาลากลางจังหวัด ชั้น2 ถนนประชานิมิตร อำเภอเมือง จังหวัดอุตรดิตถ์ 53000,uttaradit@mol.go.th,0-5544-0172,60,https://uttaradit2.mol.go.th/wp-admin/admin.php?page=acf-options
uthaithani2.mol.go.th,uthaithani.mol.go.th,สำนักงานแรงงานจังหวัดอุทัยธานี ศาลากลางจังหวัด (หลังเก่า) ชั้น2 ถนนศรีอุทัย ตำบลอุทัยใหม่ จังหวัดอุทัยธานี 61000,uthaithani@mol.go.th,098-748-4879,61,https://uthaithani2.mol.go.th/wp-admin/admin.php?page=acf-options
krabi2.mol.go.th,krabi.mol.go.th,สำนักงานแรงงานจังหวัดกระบี่ อาคารศูนย์ราชการกระทรวงแรงงานจังหวัดกระบี่ ชั้น ๔ ถนนท่าเรือ ตำบลไสไทย อำเภอเมือง จังหวัดกระบี่ ๘๑๐๐๐,krabi@mol.go.th,๐-๗๕๖๑-๒๑๔๑,62,https://krabi2.mol.go.th/wp-admin/admin.php?page=acf-options
chumphon2.mol.go.th,chumphon.mol.go.th,สำนักงานแรงงานจังหวัดชุมพร ศาลากลางจังหวัด ชั้น3 ตำบลนาชะอัง อำเภอเมือง จังหวัดชุมพร 86000,suvanai_d@mol.go.th,0-7751-1176,63,https://chumphon2.mol.go.th/wp-admin/admin.php?page=acf-options
trang2.mol.go.th,trang.mol.go.th,สำนักงานแรงงานจังหวัดตรัง ศาลากลางจังหวัด ชั้น4 ถนนพระราม6 อำเภอเมือง จังหวัดตรัง 92000,seri_s@mol.go.th,0-7521-7254-5,64,https://trang2.mol.go.th/wp-admin/admin.php?page=acf-options
nakhonsithammarat2.mol.go.th,nakhonsithammarat.mol.go.th,สำนักงานแรงงานจังหวัดนครศรีธรรมราช ศาลากลางจังหวัด ชั้น2 อำเภอเมือง จังหวัดนครศรีธรรมราช 80000,nakhonsi@mol.go.th,0-7534-5158-9,65,https://nakhonsithammarat2.mol.go.th/wp-admin/admin.php?page=acf-options
narathiwat2.mol.go.th,narathiwat.mol.go.th,สำนักงานแรงงานจังหวัดนราธิวาส ศูนย์ราชการกระทรวงแรงงาน ชั้น4 ตำบลลำภู อำเภอเมือง จังหวัดนราธิวาส 96000,narathiwat@mol.go.th,0-7353-2103-4,66,https://narathiwat2.mol.go.th/wp-admin/admin.php?page=acf-options
pattani2.mol.go.th,pattani.mol.go.th,สำนักงานแรงงานจังหวัดปัตตานี ศาลากลางจังหวัด ชั้น1 อำเภอเมือง จังหวัดปัตตานี 94000,pattani@mol.go.th,0-7333-5159-60,67,https://pattani2.mol.go.th/wp-admin/admin.php?page=acf-options
phangnga2.mol.go.th,phangnga.mol.go.th,สำนักงานแรงงานจังหวัดพังงา 9/5-6 ถนนเทศบาลบำรุง อำเภอเมือง จังหวัดพังงา 82000,wichian_k@mol.go.th,0-7641-3968-9,68,https://phangnga2.mol.go.th/wp-admin/admin.php?page=acf-options
phatthalung2.mol.go.th,phatthalung.mol.go.th,สำนักงานแรงงานจังหวัดพัทลุง ศาลากลางจังหวัด ชั้น3 ตำบลคูหาสวรรค์ อำเภอเมือง จังหวัดพัทลุง 93000,supredee_s@mol.go.th,0-7461-4219,69,https://phatthalung2.mol.go.th/wp-admin/admin.php?page=acf-options
phuket2.mol.go.th,phuket.mol.go.th,สำนักงานแรงงานจังหวัดภูเก็ต ศาลากลางจังหวัด อำเภอเมือง จังหวัดภูเก็ต 83000,phuket@mol.go.th,0-7635-4035,70,https://phuket2.mol.go.th/wp-admin/admin.php?page=acf-options
yala2.mol.go.th,yala.mol.go.th,สำนักงานแรงงานจังหวัดยะลา อาคารศูนย์ราชการ กระทรวงแรงงาน ชั้น4 ถนนสุขยางค์ อำเภอเมือง จังหวัดยะลา 95000,niyom-s@hotmail.com,0-7325-9240,71,https://yala2.mol.go.th/wp-admin/admin.php?page=acf-options
ranong2.mol.go.th,ranong.mol.go.th,สำนักงานแรงงานจังหวัดระนอง ศาลากลางจังหวัดระนอง ชั้น 3 หมู่ 3 ตำบลบางริ้น อำเภอเมือง จังหวัดระนอง 85000,ranong@mol.mail.go.th,0-7780-0152,72,https://ranong2.mol.go.th/wp-admin/admin.php?page=acf-options
songkhla2.mol.go.th,songkhla.mol.go.th,สำนักงานแรงงานจังหวัดสงขลา ศาลากลางจังหวัด ชั้น2 (หลังเก่า) อำเภอเมือง จังหวัดสงขลา 90000,songkhla@mol.go.th,0-7432-5092,73,https://songkhla2.mol.go.th/wp-admin/admin.php?page=acf-options
satun2.mol.go.th,satun.mol.go.th,สำนักงานแรงงานจังหวัดสตูล ศาลากลางจังหวัด ชั้น2 ถนนสตูลธานี ตำบลพิมาน อำเภอเมือง จังหวัดสตูล 91000,pprattana@hotmail.com,0-7471-1189-90,74,https://satun2.mol.go.th/wp-admin/admin.php?page=acf-options
suratthani2.mol.go.th,suratthani.mol.go.th,สำนักงานแรงงานจังหวัดสุราษฏร์ธานี อาคารศูนย์ราชการกระทรวงแรงงาน ชั้น4 ตำบลขุนทะเล อำเภอเมือง จังหวัดสุราษฎร์ธานี 84100,test@mol.go.th,0-7735-5416-7,75,https://suratthani2.mol.go.th/wp-admin/admin.php?page=acf-options
